number10.gov.uk,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"822,160","729,677","723,075","555,447","622,066","842,892","845,522","872,103","472,140","876,949","928,164","879,726","8,064,990","1,130,466","1,020,666","958,750","726,158","777,241","1,048,879","1,107,321","1,118,119","605,749","1,141,423","1,188,459","1,120,498","597,804","543,578","461,660","352,409","342,113","467,416","589,646","559,491","274,261","594,784","595,415","543,015",388,353,345,383,347,356,347,334,333,355,348,338,"3,572,719","3,520,498","2,801,333","2,069,973","2,012,130","2,802,438","3,145,702","3,130,683","1,648,555","3,247,391","3,185,224","2,971,703",0,,11,,86,"(includes hosting for e-petitions as well as hosting, stats and search for number10.gov.uk site)",106,,0,,0,,0,,1,,0,,2,,1,,1,,0,,0,,,,"�202,723.50",,yes,yes,yes,no,99.9,no,yes,yes,"Re responses 14a,b,c and d: Although the homepage was tested, it failed on one count against the single A standard and also on several counts against the double A standard. Re response 16: URL redirection planned to be implemented on w/b 12th April. Re response 15: Figure is approximation based on recorded Origin Server Failures from Jan to April 2010 when server failures were recorded to last 2 hours 13 minutes."
justice.gov.uk,MOJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"429,478","608,554","723,966","720,439","657,393","748,101","818,225","787,765","588,394","824,429","765,123","1,003,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,251,180","1,130,441","1,311,972","1,571,270","1,143,797","1,305,695","1,464,487","1,399,464","1,047,696","1,411,457","1,393,397","1,799,159",0,,99,"This figure includes an amount of �42,000 for the website search facility. This contract also provides a search service for a number other websites.",0,It is not possible to separate the hosting and infrastructure costs for the departmental website (justice.gov.uk) as the ICT contract covers a number of internal and external websites and ICT infrastructure. The overall contract for ICT application and hosting services amounts to �1.4m.,0,,0,,0,,0,,1,Numbers given for FTE staff are approximate only. Staff have a range of responsibilities which include internet/intranet and other communications roles. Data is not available to identify the percentage of time spent on the MoJ website. ,5,Numbers given for FTE staff are approximate only. Staff have a range of responsibilities which include internet/intranet and other communications roles. Data is not available to identify the percentage of time spent on the MoJ website. ,4,Numbers given for FTE staff are approximate only. Staff have a range of responsibilities which include internet/intranet and other communications roles. Data is not available to identify the percentage of time spent on the MoJ website. ,0,,0,,0,,0,,,,"�472,892.00","There are ten members of MoJ staff involved in publishing content to and maintenance and development of the MoJ website. Of these staff, only three are dedicated full-time to the MoJ website; all the others have responsibilities covering the MoJ corporate intranet, and providing advice and digital communications services to a number of the MoJ's arm's length bodies. ",yes,yes,yes,yes,99.4,yes,yes,yes,"A programme of user testing and research was carried out in 2008-2009, as part of planning for the new website design which went live in April 2009. Cost figures for this work are not included in this response.  Since April 2009 accessibility and usability evaluation has been carried out by in-house staff. Following the launch of the new website design the MoJ Digital Team received positive feedback from users although no formal survey was carried out in 2009-10. A user panel has since been established to receive feedback and evaluation of the site."
food.gov.uk,FSA,22.6,30,24.4,23,16.7,39.5,17.6,4.8,13.3,8.1,18,41.8,14.1,6.2,16,2.2,1.7,17.1,38,18.7,7.3,14.9,2.2,1.8,11.5,31.8,23.2,11.7,17.7,2.6,1.5,22,43.3,11.4,4.4,14.7,2.4,1.8,23.2,39.4,10.5,3.7,16,4.8,2.4,14.5,32.1,15.2,9.2,18.8,4,6.2,31.1,31.3,13.6,8.7,15.3,25.5,9.5,18,16.5,10,7,1,8,4.5,36.9,51.8,11.3,18.8,81.2,80.5,6.8,2.8,1.6,2.5,2.8,3,"237,019","239,522","221,348","204,227","190,062","227,630","253,060","256,631","193,862","265,661","272,285","290,724","2,450,384","322,500","328,428","304,872","284,025","261,852","310,901","342,990","347,581","256,909","354,060","364,611","398,612","142,658","144,825","132,329","123,977","114,796","140,196","156,676","155,913","113,622","160,567","167,928","184,073",412,412,403,398,403,412,419,415,404,406,405,406,"921,188","920,766","848,017","784,360","728,499","899,324","1,006,462","992,618","702,161","1,012,912","1,064,382","1,160,099",6,,325,,271,This includes the cost of new build of servers as we started the project to switch hosting providers during the year,73,,8,,0,,1,,0,,3.5,,0,,2,,0,,0,,0,,30,30,"�410,190.67","The hosting and infrastructure, design and build, and content provision costs all include the costs of podcasts and webcasts and training tools that are hosted separately for technical reasons but in effect provide content for the site.",yes,yes,yes,no,99.9,no,yes,yes,Accessibility and Links checked using SiteImprove.  The redirection component will be installed following our server hosting change currently taking place.  Note that actual service availability should be 99.95% but table doesn't accept.
eatwell.gov.uk,FSA,28.3,26.1,21.7,23.9,20.7,35.8,11.4,4.3,16.4,11.4,30.7,36.7,8.1,1.9,14.4,1.9,6.3,23.7,38.9,10.3,5.7,15.3,1.5,4.6,22.8,34.6,14.1,4.9,16,2.3,5.3,28.6,38,7.2,4.9,14.1,1.9,5.3,27.1,34,8.8,2.7,16.8,5.3,5.3,25.1,30,8.7,4.6,16,3.4,12.2,26.5,30.5,14.9,7.2,20.9,37.6,6.8,9.2,10.4,8.3,6.8,1.2,11,8.7,25.9,57.6,16.5,16,84,76.5,12,1.6,1.2,1.2,3.3,4.2,"328,801","335,125","305,610","254,982","240,272","312,448","371,730","400,272","384,467","485,810","435,004","490,510","4,006,587","370,877","378,073","344,106","284,529","268,553","352,329","421,429","453,865","429,839","549,049","490,192","556,424","151,350","153,203","142,268","110,508","100,952","141,528","166,668","172,024","129,072","211,375","180,358","205,838",438,437,439,417,407,446,451,453,424,440,445,442,"1,144,030","1,143,128","1,046,958","823,874","762,471","1,051,475","1,231,671","1,254,390","945,196","1,567,658","1,340,818","1,501,396",0,,160,"Both the technical support and hosting and infrastructure of eatwell are integrated within that of our main site, food.gov.uk. The figure for design and build of eatwell is therefore a proportion of the overall cost for the two sites, based on the relative size of the sites.",85,"See previous comment; this figure is based on half the overall monthly hosting cost, given the relative traffic on the two sites.",17,,7,,0,,0,,0,,1,,0,,0.5,,0,,0,,0,,30,30,"�110,792.20",,yes,yes,yes,no,99.95,no,yes,yes,Accessibility and links checked using SiteImprove. The redirection component will be installed following our server hosting change currently taking place.
mod.uk,MOD,48.39,30.79,13.34,7.32,32.48,47.75,10.37,4.18,3.38,1.85,38.26,43.57,10.21,4.18,2.89,0.8,0.08,21.38,50.64,18.89,5.87,2.33,0.72,0.16,28.94,46.22,12.3,6.43,4.74,1.21,0.16,31.19,52.25,10.45,2.89,1.93,1.13,0.16,31.91,44.45,11.5,5.31,1.85,4.74,0.24,21.38,37.22,13.34,5.47,6.27,1.29,14.55,37.3,35.93,14.71,8.28,3.3,5.23,6.19,14.55,24.2,24.44,14.79,3.22,1.37,5.79,72.43,25.16,2.25,6.59,88.59,92.85,,4.5,0.4,0.8,0.08,0,"316,969","343,125","351,001","423,585","352,264","349,969","354,655","380,823","310,303","374,556","390,439","418,051","3,591,193","550,440","601,190","614,062","766,420","643,765","642,372","643,078","679,481","558,366","661,762","699,213","764,287","317,488","344,318","353,537","435,265","369,361","367,311","362,088","389,586","303,799","369,633","397,172","426,850",311,305,303,314,303,308,317,326,314,336,334,333,"2,184,843","2,304,428","2,376,640","2,839,367","2,379,031","2,377,869","2,405,544","2,553,853","1,948,858","2,445,542","2,545,686","2,750,239",0,Provided in-house,418,This figure also includes expenditure on MOD's internal Defence intranet.,127,This figures includes �321.24 BT bills inclusive of VAT at both 15% and 17.5%; Browsealoud renewal for 2 years up to March 2012 and Google Search Appliance renewal for 2 years up to 1 October 2011 ,0,Translation Services,6,"Includes cost for ABCe audit, calculated at �2,500, although as of 13/04/2010 no actual invoice has been received. ",0.03,Amount of time spent on website cannot be quantified for this grade. Small percentage.,0.05,,0.3,,1,,2,,3,One member of staff on Maternity leave since August 2009,1,,0,,0,,,,"�379,940.00",I have been advised that Percentage uplift is no longer used in MOD,yes,yes,yes,yes,99.89,yes,yes,yes,"Maximum compliance with required standards was ensured, within the constraints of the current CMS. Automated and manual tests were carried out by the Shaw Trust in June 2009: a manual technical audit using automated tools and a dedicated team of user testers with differing disabilities using a range of adaptive technologies.  Post code development to address issues highlighted by Shaw Trust Report, the 10293 (Pages and images) in the site were tested with Sort-Site Professional.  2525 pages have quality issues, with an overall quality rating of ""better than average"". We continue to address minor accessibility issues.
"
homeoffice.gov.uk,HO,20,26,26,28,16,29,18,12,14,11,28,38,14,9,8,3,,21,41,18,9,7,4,,19,31,19,16,13,2,,23,36,16,12,9,4,,26,29,18,10,12,5,,19,37,13,9,14,1,7,34,25,19,13,9,7,11,23,23,22,6,5,,3,47,47,6,15,85,80,11,3,1,1,,4,"787,766","775,744","693,484","670,267","639,373","686,466","760,980","746,200","555,849","660,334","671,393","789,624","7,651,563","966,609","935,291","839,286","814,897","772,848","823,146","914,089","909,721","861,261","819,464","824,672","980,346",,,,,,,,,,,,,281,283,275,267,256,267,277,293,286,277,282,297,"2,741,638","2,539,761","2,385,530","2,223,739","2,081,822","2,145,072","2,436,421","2,446,664","1,819,217","2,388,655","2,275,947","2,665,416",0,,,,"1,212","Hosting, Technical support, Hardware, DNS Management and movement of all hosting to new secure hosting platform",221,Direct.gov franchise building and TG negotiations,112,IA work for Direct.gov and corporate site,1,,1,,1,,2,,6,,0,,0,,0,,0,,,,"�535,102.00",,yes,yes,yes,yes,99.9,no,yes,yes,
dft.gov.uk,DFT,23.7,19.6,24.7,32,11.4,27.2,20.3,18.3,21.3,1.5,12.3,28.7,17.9,24.6,15.4,1.1,,9.6,32.1,26.7,19.3,11.2,1.1,,7.3,22.4,16.1,21.4,32.3,0.5,,10.5,36.6,19.4,15.7,15.2,2.6,,12.9,34.5,17,14.9,12.9,7.8,,5.9,18.2,17.6,17.1,28.3,12.9,,16.9,28.2,19,19,16.9,5.8,11.1,23.2,20,15.8,16.8,5.3,2,,67.7,28.6,3.7,7.8,92.2,88,5.8,1.6,0.5,1,1.6,1.5,"354,564","587,006","283,763","284,775","238,872","279,304","256,700","620,171","195,651","248,517","238,060","338,127","3,593,866","474,976","717,390","392,508","398,886","324,893","358,829","339,662","673,291","272,926","345,537","331,027","491,060","254,117","262,579","231,435","247,446","201,874","213,169","188,414","171,628","147,005","185,825","179,812","293,736",317,315,288,278,284,272,295,236,303,298,301,358,"1,702,393","1,895,049","1,586,095","1,677,174","1,358,715","1,373,416","1,229,424","1,299,289","952,002","1,176,686","1,154,928","2,091,833",45,,198,,810,,100,,40,,0,,0,,1,,1.33,,3.67,,0,,0,,0,,0,,,,"�278,859.36","Non staff costs cover all corporate content accessible via the dft.gov.uk domain. Costs include VAT where non reclaimable and exclude where recoverable. 
Staff costs are for the central web team, no other staff across the Department spend more than 50% of their time on campaign and micro sites.",yes,yes,no,no,99.9,yes,yes,yes,These responses are for the core corporate site and do not cover other micro or campaign sites under the same domain.
transportdirect.info,DFT,36.1,54.9,8.4,0.6,34.2,53,8.7,2.5,0.9,0.7,33.5,59.2,3.1,2.4,0.9,0.9,,29.3,46.8,16.8,3.3,0.6,3.2,,35.2,53.8,6.8,2.8,0.7,0.7,,30.7,48.7,15,2.6,0.8,2.2,,29.3,49.2,15.5,2.4,0.8,2.8,,28.8,34,28.1,3.5,0.9,4.7,,52.7,41.4,4.9,0.5,0.5,2,3,17,17,28,24,7,1,1,49.7,50.3,,,,,,,,,,,"1,076,272","1,024,827","1,093,819","1,165,543","1,418,476","1,165,969","1,209,922","1,147,379","1,181,349","1,424,961","1,195,368","1,447,337",,"1,452,486","1,400,086","1,558,604","1,600,788","1,886,460","1,585,420","1,647,809","1,576,641","1,740,042","1,955,362","1,595,136","1,906,891",,,,"957,390","1,111,195","912,541","954,618","892,300","869,870","980,799","865,629","1,024,313",,,,855,700,899,871,897,875,905,922,914,"11,016,308","10,719,478","11,738,569","12,405,639","12,500,222","11,577,886","11,966,818","10,373,199","9,660,123","10,658,187","9,180,656","10,754,276",364,The majority of work in this category is done by the civil servant team (as described in internal staff costs) and therefore not broken out as programme spend here.,"1,092",When a new development is carried out on the site the costs of technical testing (5.1) are included in the overall costs of the development and as such are counted in the design and build section.,"3,662",There is an element of automated testing (5.5) carried out using site confidence monitoring.  The costs for this are included in the DBO contract for the Portal and are not charged separately.  As such they are included in this section (3.9) and not testing and evaluation.,862,,243,When a new development is carried out on the site the costs of technical testing (5.1) are included in the overall costs of the development and as such are counted in the design and build section.,0.5,,0,,1,,0,,1.5,,1.5,,0.5,,0,,0,,,,"�257,000.00","The Transport Direct Team in DfT provides the Transport Direct website and also a supports a wider programme of work largely aimed at improving data quality across the travel information community.  Whilst the effect of some of this work is to improve the content provision for the TD website, the work (and associated spend) delivers other benefits.  For example the production of a national cycle database to be used by TD and by local authorities for their own purposes or the production of a national coach database to be used by TD, transport operators and other travel information services such as traveline. The guidance offered in TG128 para 37 and 39 has been interpreted here and these costs excluded from the above figures on that basis.",yes,yes,yes,no,99.6,yes,yes,yes,"WCAG1.0 AA compliance was achieved in 2009 following testing and improvement.  A recent repeat audit has highlighted that, due mainly to updates to the standard, we now need to do some more development to meet the new level.  This will be completed in the next quarter.  Uptime % excludes any time the site was unavailable - including both planned and unplanned outages"
businesslink.gov.uk,HMRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,018,993","954,418","933,687","968,630","889,592","1,075,445","1,295,641","1,242,632","906,240","1,683,902","1,291,727","1,715,043",,"1,214,024","1,135,484","1,122,633","1,160,020","1,056,430","1,273,300","1,534,618","1,469,679","1,058,785","2,047,677","1,529,108","2,068,907","681,007","621,481","633,662","628,061","599,625","703,712","853,250","785,984","550,238","1,024,862","829,511","1,063,928",533,541,540,529,521,519,516,525,516,507,522,512,"7,303,149","6,641,744","6,746,492","6,710,847","6,403,679","7,411,039","8,667,964","8,204,596","5,805,552","9,958,322","8,879,851","10,769,310",6250,"Includes Leadership team, Engagement and Marketing functions",4388,Includes Platform Capability and strategic projects,4661,Includes Live Services and User Support,15229,Includes content maintenance and development and content convergence through transformational government programme,4472,Includes programme integrity and testing,2,,1.6,,1,,5,,0,,2,,0,,0,,0,,,,"�788,000.00",,yes,yes,yes,yes,99.5,yes,yes,yes,
dwp.gov.uk,DWP,15.36,19.11,25.6,39.93,9.22,28.33,16.38,17.75,27.3,1.02,16.72,30.03,20.14,12.63,18.77,1.71,,13.65,32.42,25.6,12.63,13.99,1.71,,13.99,23.21,15.36,19.11,27.3,1.02,,14.33,29.01,21.84,12.63,19.8,2.39,,14.68,28.67,22.87,10.58,16.04,7.17,,13.99,24.23,18.43,13.31,26.28,3.75,,19.8,21.5,15.7,18.4,24.6,3,11.6,20.48,20.48,19.8,17.4,3.8,2.4,1.02,56.31,41.3,2.39,23.2,76.8,83.62,9.56,3.07,1.02,,1.02,1.71,"851,363","750,655",,,,,,,,,,,,"1,480,379","1,340,103","1,438,722","1,518,285","1,379,921","1,397,141","1,407,123","1,417,759","990,641","1,504,416","1,362,072","1,544,583",,,,,,,,,,,,,,,,,,,,,,,,,"5,889,326","4,882,329","251,170","5,661,297","7,940,813","7,723,974","7,469,730","7,238,121","5,139,660","7,071,341","6,378,650","7,174,496",0,,7,,197,This figure represents costs that are available. Full costs cannot be provided because the IT Contracts do not separate out costs into this granular detail.,60,"As per the guidance if the data would be collected by DWP anyway (ie as part of it�s core business) the cost of collecting the data should not be included. Only the costs of running/maintaining the pages are included for this report, this is relevant to the Research and Statistics area of the website",14,,0,,0,,1,,3.1,,4.6,,4,,0,,0,,0,,,,"�542,707.51",FTE figures include work done to converge the Jobcentre Plus and The Pension Service content onto the DWP Corporate site during 2009/10.  As per the guidance we have not included staff time that equtes to less that 50% of their time spent on pure web activity ,yes,yes,yes,no,99.6,yes,yes,yes,"Re: Q14 the DWP website was relaunched on 30 June 2009 and all content from then onwards meet the standards as outlined in Q14. Some content from before then does not meet these standards, but we are formulating plans to address this issue."
